,Unnamed: 0,Id,Time,User,Content,hashtags,likes,Date
0,0,1620934598371987456,2023-02-01 23:58:18+00:00,ashengrottosgf,azukei is so funny to me bc it seems like a elon grimes crackship but meanwhile in the anthology https://t.co/vwzal1gNXQ,,1006,2023-02-01
1,1,1621296377446686725,2023-02-02 23:55:53+00:00,Project_Veritas,"#Pfertility was trending within minutes of launch tonight - as high as #9 in the United States 

It has since vanished 

The video has nearly 1,000,000 views in 90 minutes with tens of thousands of tweets using #Pfertility

What is going on here? @elonmusk https://t.co/XAuMPJNShD","['Pfertility', 'Pfertility']",31181,2023-02-02
2,2,1621659070842142720,2023-02-03 23:57:06+00:00,greg16676935420,@TravisAllen02 @elonmusk Don’t let the door hit you on the way out,,3150,2023-02-03
3,3,1622021022152273920,2023-02-04 23:55:22+00:00,OldMateEngineer,"So many freakin castings 🥴
$tsla https://t.co/LH1uBim68U",,654,2023-02-04
4,4,1622384194189152259,2023-02-05 23:58:28+00:00,CollinRugg,"THIS WEEK: Yoel Roth, Vijaya Gadde &amp; Jim Baker are testifying after the release of the damning Twitter Files.

If it wasn’t for Elon Musk, none of this would be happening.",,7765,2023-02-05
5,5,1622746916999102465,2023-02-06 23:59:48+00:00,elonmusk,@TrungTPhan 🔥🔥,,4847,2023-02-06
6,6,1623108976144416773,2023-02-07 23:58:30+00:00,PleasrDAO,"Doge couch auction goes live at 8:30 PM EST today for 24 hrs on PleasrHouse✨

Pleasd to offer this once in a lifetime opportunity to own the original couch the Doge sat on in the picture that spawned a million memes.

Proceeds benefit @SavetheChildren 

https://t.co/BuN3ETkKm3 https://t.co/lDTUrcuGY2",,158,2023-02-07
7,7,1623471652695687168,2023-02-08 23:59:39+00:00,CarpeDonktum,@elonmusk Elon tripped over the extension cord again.,,724,2023-02-08
8,8,1623832510814646272,2023-02-09 23:53:34+00:00,JoshuaPHilll,Elon Musk personally firing an engineer because his tweets aren’t getting enough views is exactly what money doesn’t buy happiness means. The guy has every material thing a person could want and is consumed with being liked. There’s more to life than endless wealth.,,36091,2023-02-09
9,9,1624194310739484672,2023-02-10 23:51:14+00:00,EvasTeslaSPlaid,Dope or not? Excited for my 2023 garage project. @elonmusk https://t.co/8X0D0vugPu,,1074,2023-02-10
10,10,1624558197372596224,2023-02-11 23:57:11+00:00,BFriedmanDC,"SpaceX may imply that limiting Ukraine's use of Starlink is a way to remain neutral and stay out of the conflict. But we all know that to remain neutral in the face of injustice is to choose the side of the oppressor. @elonmusk is, once again, helping Russia destroy a democracy.",,235,2023-02-11
11,11,1624919404742860800,2023-02-12 23:52:30+00:00,OGMarsLife,Midnight-Orange Tesla Model 3 😍😍😍Who else likes… @Tesla you copy? https://t.co/nwd2o9NHRo,,1180,2023-02-12
12,12,1625282019029663745,2023-02-13 23:53:24+00:00,ZaleskiLuke,"@elonmusk Elon’s con is trying to get you to think he’s objective while also platforming every MAGA election-and-vaccine denier and that open/out-sourcing the accuracy/moderation of his $44 billion baby absolves him of responsibility for any bias, but Twitter is Elon. This is a closed loop",,713,2023-02-13
13,13,1625645802512347137,2023-02-14 23:58:57+00:00,ANDREWTI,It’s honestly nuts how many of you haven’t blocked Elon already.,,277,2023-02-14
14,14,1626008015412293634,2023-02-15 23:58:15+00:00,thevivafrei,"What energy source powers the charging network, @elonmusk?",,702,2023-02-15
15,15,1626368807529852928,2023-02-16 23:51:54+00:00,JUNlPER,i still believe one of the funniest phrases to come out of the elon musk era of twitter is when someone said  “elon has the respect of the meme community”,,4449,2023-02-16
16,16,1626732608527732737,2023-02-17 23:57:31+00:00,Chrislegal1,@elonmusk @ggreenwald are full of shit unless they call this out.,,244,2023-02-17
17,17,1627094331252432900,2023-02-18 23:54:53+00:00,SF___Tahoe,"Ross Gerber is a bad &amp; divisive choice for the Tesla BOD.  Tesla is a Global business.  Ross Gerber does not have international expertise. Tesla has employees around the world—employees &amp; customers that live outside the USA aren’t donating to US political campaigns, but Ross…",,452,2023-02-18
18,18,1627456842052804609,2023-02-19 23:55:22+00:00,EmmaRincon,"Para Chat GPT Elon Musk, Donald Trump y Boris Johnson son figuras controversiales tales como Putin y Xi Jinping y merecen trato diferenciado, pero Joe Biden, Emmanuel Macron, Bill Gates y Jeff Bezos no lo son.

Debería llamarse Chat Woke GPT. https://t.co/HdaIEikKya",,514,2023-02-19
19,19,1627818010743558144,2023-02-20 23:50:31+00:00,PleaseBeGneiss,did elon buy ohio,,457,2023-02-20
20,20,1628179757295624197,2023-02-21 23:47:58+00:00,sethweathers,"@elonmusk @KanekoaTheGreat Yes

The solution:

Eat steak
Lift weights 
Be uncensorable
Screw the government",,2550,2023-02-21
21,21,1628544983534804993,2023-02-22 23:59:15+00:00,KT_So_It_Goes,"for everything elon fucked up in the infrastructure that everyone talked about, the actual thing he wrecked was the content. nothing is really very funny anymore. it’s a bunch of unpleasant weirdos with terminal internet poisoning screaming about even weirder shit than usual",,338,2023-02-22
22,22,1628906309486510080,2023-02-23 23:55:02+00:00,SecretNofun,"Russia: we would like to genocide you
Ukraine: we would like to not be genocided
Elon: hard to say who is right here",,4182,2023-02-23
23,23,1629269408005738498,2023-02-24 23:57:51+00:00,FonsDK,@elonmusk @RalphNader Everything US Taxpayers need to know about Elon!,,1237,2023-02-24
24,24,1629632073685422081,2023-02-25 23:58:58+00:00,walter_report,"@elonmusk @DavidSacks Crimea is Ukraine, for those who don't know.",,2529,2023-02-25
25,25,1629994674256527360,2023-02-26 23:59:48+00:00,MalcolmNance,"@elonmusk 1776, speaking for George III about that Declaration of Independence thingy. https://t.co/bekcvcTJYN",,466,2023-02-26
26,26,1630355625937969152,2023-02-27 23:54:06+00:00,tania__rd,El presi con el tweet de Chumel después de que Elon Musk confirmó la inversión de Tesla en México https://t.co/34zRcJJdJB,,250,2023-02-27
