,Unnamed: 0,Id,Time,User,Content,hashtags,likes,Date
0,0,1642314890323935232,2023-04-01 23:55:57+00:00,MarcoEscalanteN,Eso debería ver @elonmusk https://t.co/OjsEzpJK03,,194,2023-04-01
1,1,1642678155163860995,2023-04-02 23:59:26+00:00,stevanzetti,"@mmeyerdc @GovAbbott @elonmusk Musk's most exciting innovations are the ones at the intersection of technology and animal advocacy. Google ""1500 animals in four years elon musk neuralink"" to learn more.",,163,2023-04-02
2,2,1643040265798578181,2023-04-03 23:58:20+00:00,peimsloot,"LMAO @elonmusk is shilling checks now?
what a timeline are we in? 😂
@jackbutcher https://t.co/pD6LuBE41c",,147,2023-04-03
3,3,1643402432100147200,2023-04-04 23:57:27+00:00,JUNlPER,@boygrrI people call elon the most divorced man ever but this is out of this world,,1587,2023-04-04
4,4,1643712450112389121,2023-04-05 20:29:21+00:00,shaun_vids,"the openly neo-nazi account in the pic is not only verified, it has gained more than 15k followers in the last 30 days. good job elon",,1831,2023-04-05
